1020881,102.726000,16334128
1020904,95.798000,16334496
1020904,85.788000,16334496
1020907,85.786000,16334544
1020920,73.811000,16334752
1020924,72.804000,16334816
1020924,73.801000,16334816
1020927,74.749000,16334864
1020930,85.837000,16334912
1020930,86.219000,16334912
1021077,87.765000,16337264
1021080,87.767000,16337312
1021080,90.825000,16337312
1021084,86.935000,16337376
1021087,74.864000,16337424
1022411,93.750000,16358608
1022414,91.814000,16358656
1022414,88.761000,16358656
1022417,85.770000,16358704
1022440,87.764000,16359072
1022444,89.759000,16359136
1021639,83.777000,16346256
1021643,76.795000,16346320
1021646,76.866000,16346368
1021649,74.864000,16346416
1021662,72.877000,16346624
1021666,87.763000,16346688
1021857,92.751000,16349744
1021860,78.845000,16349792
1021864,88.761000,16349856
1021880,86.767000,16350112
1021883,73.870000,16350160
1021886,73.803000,16350208
1024855,86.767000,16397712
